month,total_orders,avg_review_score,avg_payment_value,avg_shipping_days,unique_customers,unique_sellers
2016-09-01,1,1.0,,54.0,1,1
2016-10-01,270,3.89,185.38,19.7,270,129
2016-12-01,1,5.0,19.62,4.0,1,1
2017-01-01,750,4.2,181.74,12.12,750,219
2017-02-01,1653,4.18,166.21,12.66,1653,402
2017-03-01,2546,4.14,164.22,12.44,2546,476
2017-04-01,2303,4.1,168.34,14.23,2303,488
2017-05-01,3545,4.2,164.12,10.86,3545,562
2017-06-01,3135,4.19,158.36,11.7,3135,519
2017-07-01,3872,4.17,151.01,10.98,3872,593
2017-08-01,4193,4.28,166.56,10.41,4193,683
2017-09-01,4150,4.19,199.07,11.54,4150,711
2017-10-01,4478,4.1,184.18,11.24,4478,762
2017-11-01,7288,3.89,175.43,14.5,7288,937
2017-12-01,5513,4.0,158.21,14.83,5513,846
2018-01-01,7069,4.0,164.39,13.65,7069,956
2018-02-01,6556,3.78,164.75,16.44,6556,928
2018-03-01,7003,3.75,171.99,15.55,7003,981
2018-04-01,6798,4.12,180.86,10.95,6798,1105
2018-05-01,6749,4.16,182.61,10.91,6749,1105
2018-06-01,6096,4.21,175.64,8.66,6096,1163
2018-07-01,6156,4.27,181.36,8.44,6156,1238
2018-08-01,6351,4.25,164.67,7.25,6351,1261
